AcresBurned,Active,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
83,FALSE,,2016,TRUE,/incidents/2016/6/12/old-fire/,San Benito,,,,2016-06-12T15:45:00Z,,FALSE,TRUE,,,,36.49914,-121.04993,FALSE,Old Fire,100,,TRUE,2016-06-12T12:45:00Z,Finalized,,,,,fb7d6492-444e-420c-9111-0f8999d3af04,2016-06-12T15:45:00Z,
80,FALSE,,2016,TRUE,/incidents/2016/8/3/baker-fire/,Tehama,,,,2016-08-04T07:50:00Z,,FALSE,TRUE,,,,40.19611,-122.26736,FALSE,Baker Fire,100,,TRUE,2016-08-03T17:27:00Z,Finalized,,,,,140161a1-ca06-448a-87f2-27e688b2d922,2016-08-04T07:50:00Z,
80,FALSE,,2016,TRUE,/incidents/2016/7/21/serpa-fire/,Madera,,,,2016-07-25T19:20:00Z,,FALSE,TRUE,,,,0,0,TRUE,Serpa Fire,100,,TRUE,2016-07-21T12:53:00Z,Finalized,,,,,3e9fd887-dc53-4d90-a8b4-492670fcab8f,2016-07-25T19:20:00Z,
80,FALSE,,2016,TRUE,/incidents/2016/6/11/hoag-fire/,Tehama,,,,2016-06-11T16:15:00Z,,FALSE,TRUE,,,,39.7947,-121.857,FALSE,Hoag Fire,100,,TRUE,2016-06-11T14:30:00Z,Finalized,,,,,10a8344d-e2c6-4585-8094-bbb30e48db8c,2016-06-11T16:15:00Z,
78,FALSE,,2016,TRUE,/incidents/2016/7/13/sherwood-fire/,Ventura,,,,2016-07-15T14:00:00Z,,FALSE,TRUE,,,,36.92244,-119.39619,FALSE,Sherwood Fire,100,,TRUE,2016-07-13T15:52:00Z,Finalized,,,,,69b7a19e-7be7-43c1-8779-c7110b22f552,2016-07-15T14:00:00Z,
75,FALSE,,2016,TRUE,/incidents/2016/9/10/lake-fire/,Shasta,,,,2016-09-12T19:00:00Z,,FALSE,TRUE,,,,40.68192,-122.4096,FALSE,Lake Fire,100,,TRUE,2016-09-10T15:45:00Z,Finalized,,,,,47ee7239-2bc9-4794-8582-982a92fdda9f,2016-09-12T19:00:00Z,
70,FALSE,,2016,TRUE,/incidents/2016/9/23/newmark-fire/,Fresno,,,,2016-09-24T20:00:00Z,,FALSE,TRUE,,,,36.6543,-119.5327,FALSE,Newmark Fire,100,,TRUE,2016-09-23T12:40:00Z,Finalized,,,,,2e8eb057-1d9a-41a7-ab9f-9b85ce3374c4,2016-09-24T20:00:00Z,
70,FALSE,,2016,TRUE,/incidents/2016/6/18/arroyo-fire/,Monterey,,,,2016-06-20T18:15:00Z,,FALSE,TRUE,,,,36.2833,-121.3306,FALSE,Arroyo Fire,100,,TRUE,2016-06-18T16:47:00Z,Finalized,,,,,ae6a40fa-c0f3-460b-8e19-fbf4b5803bb8,2016-06-20T18:15:00Z,
70,FALSE,,2016,TRUE,/incidents/2016/5/31/pala-fire/,San Diego,,,,2016-06-07T06:45:00Z,,FALSE,TRUE,,,3,33.41639,-117.08829,TRUE,Pala Fire,100,250,TRUE,2016-05-31T13:48:00Z,Finalized,,7,,,c88af25d-aff4-4b20-9c58-0b819c8ae99a,2016-06-07T06:45:00Z,
69,FALSE,,2016,TRUE,/incidents/2016/7/19/foothill-fire/,Lake,,,4,2016-07-22T18:15:00Z,,FALSE,TRUE,,,,39.0863,-122.7891,TRUE,Foothill Fire,100,14,TRUE,2016-07-19T17:16:00Z,Finalized,,,,,6a75dc36-9f37-4c3a-870d-345f94a8104c,2016-07-22T18:15:00Z,
65,FALSE,,2016,TRUE,/incidents/2016/10/10/creek-fire/,Napa,4,0,5,2016-10-12T18:00:00Z,,FALSE,TRUE,,,,38.40958,-122.43172,TRUE,Creek Fire,100,86,TRUE,2016-10-10T16:13:00Z,Finalized,,,,,3135c367-1274-4cc4-9152-661f6fd7707e,2016-10-12T18:00:00Z,2
61,FALSE,,2016,FALSE,/incidents/2016/6/11/cotton-fire/,Kern,,,,2016-06-12T12:30:00Z,,FALSE,TRUE,,,,35.77135,-120.251,FALSE,Cotton Fire,100,,TRUE,2016-06-11T15:04:00Z,Finalized,,,,,bae93037-2a91-4189-b256-3325cd2b6979,2016-06-12T12:30:00Z,
57,FALSE,,2016,TRUE,/incidents/2016/7/22/oak-fire/,Solano,,,,2016-07-22T16:07:00Z,,FALSE,TRUE,,,,38.33475,-122.02564,FALSE,Oak Fire,100,,TRUE,2016-07-22T13:01:00Z,Finalized,,,,,dc7637b2-fa97-47c7-bbce-c0fd1a015592,2016-07-22T16:07:00Z,
57,FALSE,,2016,TRUE,/incidents/2016/7/21/baker-fire/,Calaveras,,,,2016-07-22T19:00:00Z,,FALSE,TRUE,,,,37.98171,-120.64241,TRUE,Baker Fire,100,,TRUE,2016-07-21T15:06:00Z,Finalized,,,,,2dae3029-2d17-445a-9fac-e95345b179e0,2016-07-22T19:00:00Z,
56,FALSE,,2016,TRUE,/incidents/2016/5/19/mill-fire/,Siskiyou,,,,2016-05-21T19:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Mill Fire,100,,TRUE,2016-05-19T15:37:00Z,Finalized,,,,,89ca911c-b44f-40d4-b10e-0a7ae0ca33b7,2016-05-21T19:00:00Z,
52,FALSE,,2016,TRUE,/incidents/2016/6/23/lowe-fire/,Monterey,,,,2016-06-24T18:20:00Z,,FALSE,TRUE,,,,36.1934,-120.9293,FALSE,Lowe Fire,100,,TRUE,2016-06-23T17:57:00Z,Finalized,,,,,61556003-7789-4b9e-8f16-5563624b4621,2016-06-24T18:20:00Z,
50,FALSE,,2016,TRUE,/incidents/2016/9/10/ruff-fire/,Mendocino,,,,2016-09-15T09:10:00Z,,FALSE,TRUE,,,,39.7299,-123.5044,FALSE,Ruff Fire ,100,,TRUE,2016-09-10T14:06:00Z,Finalized,,,,,2a2e0af5-24d7-4903-bab4-3705f5d788fb,2016-09-15T09:10:00Z,
50,FALSE,,2016,TRUE,/incidents/2016/9/7/spring-fire/,San Bernardino,,,,2016-09-09T06:00:00Z,,FALSE,TRUE,,,,34.3183,-117.3189,FALSE,Spring Fire,100,,TRUE,2016-09-07T16:53:00Z,Finalized,,,,,324a3c48-efcc-4385-ab87-baf0b5e29b5d,2016-09-09T06:00:00Z,
50,FALSE,,2016,TRUE,/incidents/2016/7/22/storksbill-fire/,El Dorado,,,,2016-07-23T18:00:00Z,,FALSE,TRUE,,,,38.79549,-121.00299,TRUE,Storksbill Fire,100,,TRUE,2016-07-22T13:15:00Z,Finalized,,,,,f273dffb-e1eb-48dc-b0f9-908857e78095,2016-07-23T18:00:00Z,
